Ram,CPU_freq,PrimaryStorage,Weight,ScreenW,ScreenH,TypeName_Notebook,PrimaryStorageType_SSD,Inches,PrimaryStorageType_HDD,Screen_Standard,Screen_Full HD,Price_euros
0.032258064516129,0.5925925925925926,0.4980392156862745,0.3017456359102244,0.2239288601455133,0.2241379310344827,1.0,0.0,0.6626506024096387,1.0,0.0,1.0,0.0632911392405063
0.1612903225806451,0.7037037037037036,0.4980392156862745,0.5760598503740649,0.2239288601455133,0.2241379310344827,0.0,0.0,0.8674698795180725,1.0,0.0,1.0,0.1308016877637131
0.032258064516129,0.5925925925925926,0.0588235294117647,0.1401496259351621,0.3597413096200485,0.5287356321839081,0.0,1.0,0.4096385542168675,0.0,1.0,0.0,0.1544303797468354
0.0967741935483871,0.3333333333333333,0.1215686274509803,0.1770573566084788,0.2239288601455133,0.2241379310344827,0.0,1.0,0.385542168674699,0.0,0.0,1.0,0.1318143459915612
0.0967741935483871,0.3333333333333333,0.1215686274509803,0.3765586034912719,0.2239288601455133,0.2241379310344827,1.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.1174683544303797
0.0967741935483871,0.5925925925925926,0.0588235294117647,0.5012468827930175,0.2239288601455133,0.2241379310344827,0.0,1.0,0.8674698795180725,0.0,0.0,1.0,0.1554430379746835
0.0967741935483871,0.4074074074074074,0.4980392156862745,0.3516209476309227,0.0,0.0,1.0,0.0,0.4698795180722893,1.0,1.0,0.0,0.0362869198312236
0.0967741935483871,0.7037037037037036,0.4980392156862745,0.3765586034912719,0.2239288601455133,0.2241379310344827,0.0,0.0,0.6626506024096387,1.0,0.0,1.0,0.1308016877637131
0.0967741935483871,0.5925925925925926,1.0,0.3765586034912719,0.2239288601455133,0.2241379310344827,1.0,0.0,0.6626506024096387,1.0,0.0,1.0,0.0582278481012658
0.0967741935483871,0.3333333333333333,0.0588235294117647,0.3316708229426434,0.2239288601455133,0.2241379310344827,1.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.1149367088607594
0.032258064516129,0.6666666666666667,0.4980392156862745,0.3765586034912719,0.2239288601455133,0.2241379310344827,1.0,0.0,0.6626506024096387,1.0,0.0,1.0,0.060084388185654
0.0967741935483871,0.2592592592592592,0.0588235294117647,0.4513715710723192,0.2239288601455133,0.2241379310344827,1.0,1.0,0.8674698795180725,0.0,0.0,1.0,0.1355274261603375
0.0967741935483871,0.2592592592592592,0.1215686274509803,0.2967581047381546,0.2239288601455133,0.2241379310344827,0.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.1556388185654008
0.0967741935483871,0.1481481481481481,0.2470588235294117,0.057356608478803,0.3791430881164107,0.4827586206896552,0.0,1.0,0.2289156626506024,0.0,1.0,0.0,0.2254852320675105
0.0967741935483871,0.2592592592592592,0.1215686274509803,0.2344139650872818,0.2239288601455133,0.2241379310344827,1.0,1.0,0.4698795180722893,0.0,0.0,1.0,0.1157805907172995
0.032258064516129,0.5925925925925926,0.0588235294117647,0.3765586034912719,0.2239288601455133,0.2241379310344827,1.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.0379746835443038
0.032258064516129,0.7777777777777778,0.4980392156862745,0.3516209476309227,0.0,0.0,1.0,0.0,0.6626506024096387,1.0,1.0,0.0,0.0372995780590717
0.2258064516129032,0.7037037037037036,0.0588235294117647,0.4887780548628429,0.2239288601455133,0.2241379310344827,0.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.1983122362869198
0.0967741935483871,0.3333333333333333,0.1215686274509803,0.2842892768079801,0.2239288601455133,0.2241379310344827,0.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.0886075949367088
0.0967741935483871,0.5925925925925926,0.1215686274509803,0.3167082294264339,0.2239288601455133,0.2241379310344827,1.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.071728270042194
0.2258064516129032,0.7037037037037036,0.0588235294117647,0.3765586034912719,0.2239288601455133,0.2241379310344827,0.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.2151898734177215
0.0967741935483871,0.3333333333333333,0.1215686274509803,0.1296758104738154,0.2239288601455133,0.2241379310344827,0.0,1.0,0.385542168674699,0.0,0.0,1.0,0.2489451476793249
0.0967741935483871,0.7777777777777778,0.4980392156862745,0.4389027431421447,0.2239288601455133,0.2241379310344827,0.0,0.0,0.6626506024096387,1.0,0.0,1.0,0.0886075949367088
0.0967741935483871,0.3333333333333333,0.4980392156862745,0.3765586034912719,0.2239288601455133,0.2241379310344827,1.0,0.0,0.6626506024096387,1.0,0.0,1.0,0.0869198312236286
0.2258064516129032,0.3333333333333333,0.2470588235294117,0.199501246882793,0.2239288601455133,0.2241379310344827,1.0,1.0,0.385542168674699,0.0,0.0,1.0,0.1726582278481012
0.0967741935483871,0.5925925925925926,0.1215686274509803,0.4887780548628429,0.2239288601455133,0.2241379310344827,0.0,1.0,0.6626506024096387,0.0,0.0,1.0,0.1723206751054852
0.0967741935483871,0.6666666666666667,0.1215686274509803,0.1396508728179551,0.2239288601455133,0.2241379310344827,0.0,1.0,0.4698795180722893,0.0,0.0,1.0,0.1476793248945147
